============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> Carbon(  6 um) ==============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  155  1 .1684468E+07   6000157E-02  .3073E+03 -.2681E+03   .9998873  .0135871 -.0063818
T  156  1 .1693917E+07   6000097E-02  .1255E+03 -.1645E+03   .9997284  .0166602 -.0162990
T  157  1 .1688527E+07   6000079E-02  .3400E+02  .5041E+03   .9999470  .0005682  .0102804
T  158  1 .1689024E+07   6000073E-02  .5376E+03  .4676E+03   .9997625  .0175180  .0129641
T  159  1 .1706094E+07   6000035E-02  .1504E+02 -.3969E+03   .9999820  .0006201 -.0059705
T  160  1 .1675899E+07   6000101E-02  .6522E+02 -.1186E+03   .9999473 -.0031890 -.0097593
T  161  1 .1693994E+07   6000112E-02 -.5891E+03  .6131E+03   .9996197 -.0238688  .0138112
T  162  1 .1697894E+07   6000000E-02 -.2792E+03 -.3438E+03   .9999031 -.0126854  .0057412
T  163  1 .1693975E+07   6000080E-02  .1720E+03  .5173E+03   .9998128  .0080146  .0176096
T  164  1 .1662534E+07   6000086E-02  .2035E+02 -.5203E+03   .9999343 -.0016999 -.0113401
T  165  1 .1674594E+07   6000153E-02 -.2413E+03 -.6297E+02   .9998693 -.0161692 -.0001225
T  166  1 .1695692E+07   6000019E-02  .2156E+03 -.1149E+03   .9999590  .0083323 -.0035368
T  167  1 .1697321E+07   6000007E-02  .6974E+03 -.2913E+03   .9998020  .0159888  .0118488
T  168  1 .1685850E+07   6000117E-02  .1466E+03 -.5318E+03   .9997114  .0003600 -.0240223
T  169  1 .1691633E+07   6000013E-02  .1947E+03 -.2105E+03   .9999807  .0048326 -.0038947
T  170  1 .1701003E+07   6000014E-02 -.2044E+03  .5325E+03   .9996615  .0052141  .0254911
T  171  1 .1693324E+07   6000012E-02 -.1647E+01  .3642E+02   .9999430  .0022313  .0104459
T  172  1 .1671013E+07   6000042E-02  .2335E+03 -.8008E+03   .9988936  .0098766 -.0459777
T  173  1 .1686411E+07   6000070E-02  .2995E+03  .4301E+03   .9996741  .0159628  .0199222
T  174  1 .1672949E+07   6000159E-02 -.2383E+03 -.1701E+03   .9999858 -.0052910 -.0006121
T  175  1 .1704939E+07   6000125E-02  .2420E+03 -.4746E+03   .9998206  .0043976 -.0184232
T  176  1 .1703169E+07   6000143E-02 -.2071E+03  .5051E+03   .9996607 -.0025881  .0259173
T  177  1 .1704298E+07   6000092E-02 -.2850E+01  .1639E+03   .9997772  .0003847  .0211028
T  178  1 .1710660E+07   6000159E-02  .1710E+03  .1772E+03   .9999541  .0009854  .0095255
T  179  1 .1696140E+07   6000027E-02 -.4360E+03  .1469E+03   .9998578 -.0119530  .0118958
T  180  1 .1718549E+07   6000097E-02  .4321E+03 -.9034E+02   .9999422  .0039218  .0100079
T  181  1 .1697375E+07   6000151E-02 -.1858E+03 -.2296E+03   .9998207 -.0180615 -.0056864
T  182  1 .1675804E+07   6000034E-02 -.1329E+04 -.4215E+04   .9888747 -.0454576 -.1416346
T  183  1 .1682996E+07   6000077E-02 -.3312E+03  .2360E+02   .9998834 -.0125831  .0086550
T  184  1 .1707812E+07   6000095E-02  .5059E+03  .4180E+03   .9997992  .0180201  .0087647
T  185  1 .1676746E+07   6000004E-02 -.1484E+03 -.5415E+03   .9999066 -.0050036 -.0127144
T  186  1 .1679484E+07   6000116E-02 -.2916E+03  .4647E+02   .9999790 -.0054124  .0035723
T  187  1 .1690502E+07   6000174E-02 -.1347E+03  .7953E+02   .9999114 -.0067512  .0114758
